price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
Rs. 2 Crore 70 Lakh (Negotiable),Location: Koteshwor Narephat Medical Chowk ,Land Area: 0-2-2-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,28 Feet 
Rs. 3 Crore 75 Lakh (Negotiable),Location: Sahayogi Nagar ,Land Area: 0-7-3-2 ,Floors: 4 ,Bedrooms: 15 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,8 Feet 
Rs. 3 Crore 75 Lakh (Negotiable),Location: Sahayogi Nagar ,Land Area: 0-7-3-2 ,Floors: 4 ,Bedrooms: 15 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,8 Feet 
Rs. 4 Crore 20 Lakh (Negotiable),Location: Santrugal ,Land Area: 0-4-2-0 ,Floors: 3.2 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 4 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,20 Feet 
Rs. 4 Crore 20 Lakh (Negotiable),Location: Santrugal ,Land Area: 0-4-2-0 ,Floors: 3.2 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 4 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,20 Feet 
Rs. 2 Crore 60 Lakh (Negotiable),Location: Imadol Sitalchowk ,Land Area: 0-3-1-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,13 Feet 
Rs. 2 Crore 60 Lakh (Negotiable),Location: Imadol Sitalchowk ,Land Area: 0-3-1-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,13 Feet 
Rs. 2 Crore 7 Lakh (Negotiable),Location: Ramkot Mahankal ,Land Area: 0-3-1-1 ,Floors: 3.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: North/South Faced ,10 Feet 
Rs. 2 Crore 7 Lakh (Negotiable),Location: Ramkot Mahankal ,Land Area: 0-3-1-1 ,Floors: 3.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: North/South Faced ,10 Feet 
Rs. 2 Crore (Negotiable),Location: Banepa Kavre ,Land Area: 0-6-0-0 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,13 Feet 
