price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
0.0, Basundhara ,1946.54, 2.5 , 6 , 5 , 2 , 2 , Semi Furnished ,['east'],['14']
"['मुल्य', 'आपसी', 'समझदारीमा']", Basundhara ,1925.1499999999999, 4 , 24 , 6 , 1 , 2 , Semi Furnished ,['east/south'],['12/16']
"['मुल्य', 'आपसी', 'समझदारीमा']", Basundhara ,1925.1499999999999, 4 , 24 , 6 , 1 , 2 , Semi Furnished ,['east/south'],['12/16']
"['मुल्य', 'आपसी', 'समझदारीमा']", Basundhara ,1796.81, 3.5 , 10 , 4 , 1 , 3 , Semi Furnished ,"['west', 'feced']",['15']
"['मुल्य', 'आपसी', 'समझदारीमा']", Basundhara ,1796.81, 3.5 , 10 , 4 , 1 , 3 , Semi Furnished ,"['west', 'feced']",['15']
34000000.0, Saraswoti Nagar ,1711.25, 3.5 , 10 , 6 , 1 , 3 , Semi Furnished ,['east'],['20']
34000000.0, Saraswoti Nagar ,1711.25, 3.5 , 10 , 6 , 1 , 3 , Semi Furnished ,['east'],['20']
0.0, Thali ,1540.12, 3.5 , 8 , 4 , 3 , 6 , Not Furnished ,['south'],['20']
0.0, Thali ,1540.12, 3.5 , 8 , 4 , 3 , 6 , Not Furnished ,['south'],['20']
"['मुल्य', 'आपसी', 'समझदारीमा']", Takhel ,2224.62, 3.5 , 11 , 6 , 2 , 3 , Semi Furnished ,['north'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Takhel ,2224.62, 3.5 , 11 , 6 , 2 , 3 , Semi Furnished ,['north'],['13']
24000000.0, Gokarneshwor Nayapati ,1219.26, 2.5 , 4 , 4 , 1 , 1 , Fully Furnished ,['east'],['20']
24000000.0, Gokarneshwor Nayapati ,1219.26, 2.5 , 4 , 4 , 1 , 1 , Fully Furnished ,['east'],['20']
38000000.0, Darjeeling height suryabinayak Bhaktapur ,2203.23, 2.5 , 7 , 3 , 3 , 1 , Semi Furnished ,['south'],['12']
38000000.0, Darjeeling height suryabinayak Bhaktapur ,2203.23, 2.5 , 7 , 3 , 3 , 1 , Semi Furnished ,['south'],['12']
"['मुल्य', 'आपसी', 'समझदारीमा']", Jyotinagar Chowk Yekatabasti ,1369.0, 2.5 , 4 , 5 , 2 , 2 , Semi Furnishing ,['east/north'],['13']
"['मुल्य', 'आपसी', 'समझदारीमा']", Jyotinagar Chowk Yekatabasti ,1369.0, 2.5 , 4 , 5 , 2 , 2 , Semi Furnishing ,['east/north'],['13']
0.0, Hattiban ,1304.8200000000002, 2.5 , 5 , 4 , 2 , 2 , Not Furnished ,['south'],['14']
0.0, Hattiban ,1304.8200000000002, 2.5 , 5 , 4 , 2 , 2 , Not Furnished ,['south'],['14']
35000000.0, Baniyataar ,1882.37, 3.5 , 7 , 5 , 2 , 2 , Not Furnished ,['south'],['10']
35000000.0, Baniyataar ,1882.37, 3.5 , 7 , 5 , 2 , 2 , Not Furnished ,['south'],['10']
13000000.0, Duwakot Shreenagar Tol ,1347.6000000000001, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['east/north'],['13']
13000000.0, Duwakot Shreenagar Tol ,1347.6000000000001, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['east/north'],['13']
0.0, Thankot High Vision Colony ,1882.37, 2.5 , 7 , 5 , 1 , 1 , Semi Furnishing ,['west'],['16']
0.0, Thankot High Vision Colony ,1882.37, 2.5 , 7 , 5 , 1 , 1 , Semi Furnishing ,['west'],['16']
28000000.0, Satungal Hariyali Nayabasti ,1882.37, 3.5 , 9 , 3 , 1 , 1 , Semi Furnishing ,['east'],['10']
28000000.0, Satungal Hariyali Nayabasti ,1882.37, 3.5 , 9 , 3 , 1 , 1 , Semi Furnishing ,['east'],['10']
28000000.0, Imadol Ochu height ,1026.75, 2.5 , 4 , 4 , 1 , 2 , Semi Furnishing ,['west'],['10']
28000000.0, Imadol Ochu height ,1026.75, 2.5 , 4 , 4 , 1 , 2 , Semi Furnishing ,['west'],['10']
"['30', 'lakh']", Bhimdhunga ,12321.0, 0 , 0 , 0 , 0 , 0 , Not Furnishing ,"['east/west', '&', 'south']","['11', 'miter']"
"['30', 'lakh']", Bhimdhunga ,12321.0, 0 , 0 , 0 , 0 , 0 , Not Furnishing ,"['east/west', '&', 'south']","['11', 'miter']"
24000000.0, Manamaiju ,1112.31, 3 , 6 , 4 , 3 , 3 , Semi Furnishing ,['east/south'],['10']
24000000.0, Manamaiju ,1112.31, 3 , 6 , 4 , 3 , 3 , Semi Furnishing ,['east/south'],['10']
15500000.0, Ngarjun Nagarpalika-10 Kalanki Syuchatar ,1711.25, 1.5 , 0 , 0 , 0 , 0 , Not Furnishing ,['east/west'],['13']
15500000.0, Ngarjun Nagarpalika-10 Kalanki Syuchatar ,1711.25, 1.5 , 0 , 0 , 0 , 0 , Not Furnishing ,['east/west'],['13']
"['65', 'lakh']", Swayambhu ,6160.5, 2.5 , 3 , 3 , 1 , 1 , Semi Furnishing ,['south'],['13']
"['65', 'lakh']", Swayambhu ,6160.5, 2.5 , 3 , 3 , 1 , 1 , Semi Furnishing ,['south'],['13']
16100000.0, Mahalaxmi Nagarpalika-5 Tikathali ,1112.31, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['north'],['11']
16100000.0, Mahalaxmi Nagarpalika-5 Tikathali ,1112.31, 1 , 2 , 1 , 1 , 1 , Semi Furnishing ,['north'],['11']
30000000.0, Chandragiri-12 Balambu ,1369.0, 2.5 , 7 , 3 , 2 , 2 , Semi Furnishing ,['east/west'],['13/16']
30000000.0, Chandragiri-12 Balambu ,1369.0, 2.5 , 7 , 3 , 2 , 2 , Semi Furnishing ,['east/west'],['13/16']
150000000.0, Baneshwor ,2716.6, 5 , 13 , 5 , 4 , 1 , Not Furnishing ,['south'],['18']
150000000.0, Baneshwor ,2716.6, 5 , 13 , 5 , 4 , 1 , Not Furnishing ,['south'],['18']
0.0," Mahalaxmi,sanaghaun ",1112.31, 2.5 , 6 , 3 , 3 , 6 , Semi Furnished ,['south/west'],['13']
0.0," Mahalaxmi,sanaghaun ",1112.31, 2.5 , 6 , 3 , 3 , 6 , Semi Furnished ,['south/west'],['13']
27000000.0, Bhaktpur Ethuli ,1369.0, 2.5 , 6 , 7 , 2 , 2 , Semi Furnishing ,['east/north'],['20']
