price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 2.85Cr ,"Shital Height, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,West,13 Feet 
Rs. 2.95Cr ,"Dhapakhel, Lalitpur",3.2 aana,4,4,6,Semi-Furnished,South,10 Feet 
Rs. 3Cr ,"Baluwakhani, Kathmandu",3.2 aana,3,6,3,Un-Furnished,South,13 Feet 
Rs. 2.1Cr ,"Sitapaila, Kathmandu",3.2 aana,3,5,2,Semi-Furnished,South,13 Feet 
Rs. 2.35Cr ,"Bafal, Lalitpur",3.2 aana,3,4,4,Un-Furnished,North-West,13 Feet 
Rs. 2.9Cr ,"Tokha Saraswoti, Kathmandu",3.3 aana,2.5,3,4,Semi-Furnished,South,20 Feet 
Price on call,"Manamaiju, Kathmandu",3.2 aana,2.5,5,4,Semi-Furnished,South,20 Feet 
Rs. 2.85Cr ,"Shital Height, Lalitpur",3.2 aana,3,6,4,Semi-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Hepali Height, Kathmandu",3.2 aana,2.5,5,3,Un-Furnished,South-East,14 Feet 
Rs. 3.5Cr ,"Hattigaunda, Kathmandu",3.2 aana,3,9,3,Un-Furnished,South,20 Feet 
Rs. 5.75Cr ,"Bhangal , Kathmandu",3.2 aana,3,7,3,Un-Furnished,North,16 Feet 
Rs. 6.45Cr ,"Hattigaunda, Kathmandu",3.2 aana,2.5,5,3,Semi-Furnished,West,20 Feet 
Rs. 8.45Cr ,"Budhanilkantha, Kathmandu",3.2 aana,3,9,3,Un-Furnished,South,20 Feet 
Rs. 6.75Cr ,"Budhanilkantha, Kathmandu",3.2 aana,2.5,9,3,Un-Furnished,South,12 Feet 
Rs. 8.8Cr ,"Budhanilkantha, Kathmandu",3.2 aana,3,9,3,Semi-Furnished,North,13 Feet 
Rs. 4.99Cr ,"Chhauni, Kathmandu",3.2 aana,2.5,4,4,Semi-Furnished,South,15 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,East,13 Feet 
Rs. 1.3Cr ,"Manigram, Rupandehi",0.7 kattha,2.5,4,3,Full-Furnished,East,20 Feet 
Rs. 1.94Cr ,"Suryabinayak, Bhaktapur",0.7 kattha,3,4,3,Un-Furnished,West,20 Feet 
Price on call,"Bhairahawa, Rupandehi",0.7 kattha,1,2,1,Un-Furnished,East,20 Feet 
Rs. 4.85Cr ,"Bhangal , Kathmandu",0.7 kattha,2.5,6,3,Semi-Furnished,East,13 Feet 
Rs. 3.5Cr ,"Balkot, Bhaktapur",0.7 kattha,3,6,4,Semi-Furnished,West,13 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",0.7 kattha,3,6,4,Semi-Furnished,North,13 Feet 
Rs. 2.95Cr ,"Ochu Height, Lalitpur",3.1 aana,3.5,6,5,Full-Furnished,East,13 Feet 
Rs. 3.25Cr ,"Sitapakha, Lalitpur",4.1 aana,3.5,7,5,Semi-Furnished,West,16 Feet 
Rs. 3.25Cr ,"Shital Height, Lalitpur",3.1 aana,3,6,5,Semi-Furnished,West,13 Feet 
Rs. 2.35Cr ,"Balkot, Bhaktapur",3.1 aana,3,5,4,Semi-Furnished,East,13 Feet 
Rs. 2.85Cr ,"Tikathali, Lalitpur",3.1 aana,3,5,4,Full-Furnished,East,13 Feet 
Rs. 5.75Cr ,"Bhaisepati, Lalitpur",3.1 aana,2,4,3,Full-Furnished,East,13 Feet 
Rs. 2.55Cr ,"Budhanilkantha, Kathmandu",3.1 aana,3,7,3,Un-Furnished,North-East,13 Feet 
Rs. 2.2Cr ,"Balambu, Kathmandu",3.1 aana,2,4,3,Semi-Furnished,South-West,20 Feet 
Rs. 4.25Cr ,"Ochu Height, Lalitpur",3.3 aana,3,7,5,Full-Furnished,South,13 Feet 
Price on call,"Samakhushi chowk, Kathmandu",2.2 aana,4,4,4,Semi-Furnished,East,16 Feet 
