price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 3.05Cr ,"Imadol, Lalitpur",3.1 aana,3.5,4,3,Semi-Furnished,South,13 Feet 
Price on call,"Dhumbarahi, Kathmandu",3.1 aana,2.5,4,3,Semi-Furnished,South,12 Feet 
Rs. 3.9Cr ,"Maharajgunj, Kathmandu",6.3 aana,2,6,2,Un-Furnished,East,16 Feet 
Rs. 4.75Cr ,"Wasik, Kathmandu",10.5 aana,2.5,4,1,Full-Furnished,South,13 Feet 
Price on call,"Indrayani, Kathmandu",10.5 aana,1.5,1,1,Semi-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.1 aana,3,5,2,Semi-Furnished,North,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,2,Semi-Furnished,North,12 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.3 aana,2.5,5,2,Semi-Furnished,South,13 Feet 
Rs. 18Cr ,"Sanepa, Lalitpur",3.3 aana,2,4,6,Semi-Furnished,East,12 Feet 
Price on call,"Tikathali, Lalitpur",3.2 aana,2.5,6,6,Semi-Furnished,North-East,13 Feet 
Rs. 7.17Cr ,"Pasikot, Kathmandu",3.2 aana,3.5,5,4,Full-Furnished,South-West,12 Feet 
Rs. 3.15Cr ,"Gwarko, Lalitpur",3.2 aana,2.5,4,4,Un-Furnished,South,13 Feet 
Rs. 2.99Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,4,Un-Furnished,West,13 Feet 
Rs. 2Cr ,"Ochu Height, Lalitpur",3.1 aana,3,5,4,Un-Furnished,East,11 Feet 
Price on call,"Kupandole, Lalitpur",3.1 aana,3,3,3,Semi-Furnished,East,18 Feet 
Price on call,"Thaiba, Lalitpur",3.1 aana,3.5,4,4,Un-Furnished,South,18 Feet 
Rs. 4.7Cr ,"Grande Hospital, Kathmandu",3.1 aana,2.5,4,4,Semi-Furnished,North-West,10 Feet 
Rs. 5.25Cr ,"Muhanpokhari, Kathmandu",11.2 aana,2.5,4,5,Un-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",11.2 aana,3,5,4,Semi-Furnished,West,12 Feet 
Rs. 4.75Cr ,"Satdobato, Lalitpur",11.2 aana,4.5,5,6,Semi-Furnished,West,10 Feet 
Rs. 1.99Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,West,10 Feet 
Rs. 14Cr ,"Bhaisepati, Lalitpur",2.3 aana,2.5,4,3,Full-Furnished,North-West,12 Feet 
Rs. 3.3Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,4,3,Full-Furnished,North-West,13 Feet 
Rs. 2.25Cr ,"Hattiban, Lalitpur",3.2 aana,3,5,4,Semi-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,West,18 Feet 
Rs. 4.25Cr ,"Khumaltar, Lalitpur",4.2 aana,3.5,7,4,Semi-Furnished,South,26 Feet 
Rs. 4Cr ,"Budhanilkantha, Kathmandu",4.3 aana,2.5,7,4,Semi-Furnished,North-East,14 Feet 
Rs. 4.5Cr ,"Gyaneshwor, Kathmandu",2.2 aana,5.5,13,5,Semi-Furnished,West,10 Feet 
Price on call,"Bhaisepati, Lalitpur",2.2 aana,3,5,5,Full-Furnished,East,12 Feet 
Rs. 4.99Cr ,"Imadol, Lalitpur",5.2 aana,3,6,5,Semi-Furnished,North-East,13 Feet 
Rs. 2.45Cr ,"Kharibot, Kathmandu",5.2 aana,2.5,6,5,Un-Furnished,South,16 Feet 
Price on call,"Bafal, Kathmandu",5.2 aana,4,4,5,Un-Furnished,South-East,13 Feet 
Rs. 4.25Cr ,"Khumaltar, Lalitpur",5.2 aana,2.5,4,4,Full-Furnished,South-East,20 Feet 
Rs. 6.5Cr ,"Bhaisepati, Lalitpur",6.2 aana,2.5,4,5,Semi-Furnished,South-East,12 Feet 
Rs. 3.6Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,4,5,Semi-Furnished,South-West,13 Feet 
Rs. 5.8Cr ,"Khumaltar, Lalitpur",4.2 aana,3.5,6,6,Semi-Furnished,North-West,14 Feet 
Price on call,"Bhaisepati, Lalitpur",4.2 aana,3.5,5,7,Full-Furnished,South-East,14 Feet 
Rs. 4.8Cr ,"Bhaisepati, Lalitpur",5.2 aana,3.5,4,4,Semi-Furnished,South-East,16 Feet 
Rs. 6.65Cr ,"Tahachal, Kathmandu",4.1 aana,3,4,5,Full-Furnished,North,20 Feet 
Rs. 13.3Cr ,"Dhapasi, Kathmandu",4.1 aana,2.5,5,5,Semi-Furnished,North-East,14 Feet 
Rs. 8.5Cr ,"Thecho, Lalitpur",4.1 aana,3.5,5,7,Full-Furnished,East,12 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",4.1 aana,2.5,4,5,Semi-Furnished,North-East,12 Feet 
Rs. 4.75Cr ,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,4,Full-Furnished,South,20 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 6.35Cr ,"Sanepa, Lalitpur",3.2 aana,2.5,5,3,Semi-Furnished,North-West,10 Feet 
Rs. 8.5Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,6,Semi-Furnished,West,13 Feet 
Rs. 10.5Cr ,"Maharajgunj, Kathmandu",3.2 aana,2.5,4,4,Full-Furnished,South,12 Feet 
Rs. 3.5Cr ,"Sunakothi, Lalitpur",3.2 aana,2.5,3,4,Un-Furnished,North,20 Feet 
Rs. 3.75Cr ,"Dhobighat, Lalitpur",3.2 aana,2.5,4,4,Semi-Furnished,South,16 Feet 
Rs. 8Cr ,"Hattiban, Lalitpur",3.2 aana,2,5,4,Full-Furnished,South,20 Feet 
Rs. 5.5Cr ,"Satdobato, Lalitpur",4.2 aana,3.5,6,7,Semi-Furnished,South-East,13 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",3.3 aana,2.5,4,4,Semi-Furnished,South-West,13 Feet 
Rs. 7.75Cr ,"Sanepa, Lalitpur",3.3 aana,2.5,5,5,Semi-Furnished,South-West,20 Feet 
Rs. 16Cr ,"Budhanilkantha, Kathmandu",3.3 aana,2.5,7,7,Full-Furnished,North,13 Feet 
Rs. 3.19Cr ,"Imadol, Lalitpur",4.1 aana,2.5,5,7,Un-Furnished,South,13 Feet 
Rs. 10Cr ,"Sitapaila, Kathmandu",4.1 aana,2.5,4,7,Un-Furnished,West,13 Feet 
Rs. 12Cr ,"Pokhara, Kaski",4.1 aana,2.5,4,7,Un-Furnished,West,20 Feet 
Rs. 6.25Cr ,"Bhaisepati, Lalitpur",6.4 aana,2.5,5,6,Semi-Furnished,North-West,13 Feet 
Rs. 2.8Cr ,"Hattiban, Lalitpur",2.2 aana,2.5,4,4,Semi-Furnished,North,12 Feet 
Rs. 5.99Cr ,"Imadol, Lalitpur",2.2 aana,2.5,4,5,Full-Furnished,East,20 Feet 
Rs. 4.8Cr ,"Bhaisepati, Lalitpur",2.2 aana,2.5,6,4,Semi-Furnished,South,25 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.1 aana,3,5,3,Full-Furnished,North,13 Feet 
Rs. 4Cr ,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,5,Full-Furnished,North-East,18 Feet 
Rs. 6Cr ,"Nakhipot, Lalitpur",3.1 aana,2.5,5,3,Full-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Full-Furnished,West,12 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.3 aana,2.5,5,4,Semi-Furnished,East,12 Feet 
Rs. 2.75Cr ,"Gwarko, Lalitpur",3.3 aana,2.5,5,4,Semi-Furnished,North,12 Feet 
Rs. 11Cr ,"Budhanilkantha, Kathmandu",3.3 aana,2.5,5,5,Full-Furnished,South-East,16 Feet 
Rs. 3.25Cr ,"Hattiban, Lalitpur",3.3 aana,2.5,6,4,Full-Furnished,North-East,15 Feet 
Rs. 2.8Cr ,"Hattiban, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,South-West,13 Feet 
Rs. 3.1Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Full-Furnished,West,12 Feet 
Price on call,"Baneshwor, Kathmandu",3.2 aana,2.5,4,4,Un-Furnished,South,13 Feet 
Price on call,"Birtamode, Jhapa",0.6 kattha,2.5,3,3,Un-Furnished,North,35 Feet 
Rs. 2.9Cr ,"Ochu Height, Lalitpur",3.2 aana,2.5,6,6,Semi-Furnished,South,13 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",4.2 aana,3,5,4,Semi-Furnished,East,20 Feet 
Rs. 4.65Cr ,"Bhaisepati, Lalitpur",4.2 aana,2,4,4,Full-Furnished,South-East,12 Feet 
Price on call,"Bhaisepati, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,South-East,20 Feet 
Rs. 5.95Cr ,"Sanepa, Lalitpur",4.2 aana,3,6,5,Semi-Furnished,North-East,16 Feet 
Rs. 3.9Cr ,"Nakkhu, Lalitpur",4.2 aana,2.5,4,4,Semi-Furnished,East,13 Feet 
Rs. 3.25Cr ,"Setipakha, Lalitpur",4.2 aana,3,8,3,Semi-Furnished,East,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",4.3 aana,2.5,4,4,Full-Furnished,East,20 Feet 
Rs. 3.2Cr ,"Bhangal , Kathmandu",3.1 aana,2.5,5,6,Semi-Furnished,North,13 Feet 
Rs. 5.5Cr ,"Sukedhara, Kathmandu",5.2 aana,2.5,5,6,Full-Furnished,South,13 Feet 
Rs. 1.7Cr ,"Chandragiri, Kathmandu",3.3 aana,2,5,6,Semi-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Tikathali, Lalitpur",3.3 aana,2.5,4,6,Semi-Furnished,South,13 Feet 
Rs. 2.25Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,4,6,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,2.5,3,6,Semi-Furnished,South,14 Feet 
Rs. 5.99Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,6,Full-Furnished,East,20 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",4.3 aana,2.5,4,6,Full-Furnished,East,20 Feet 
Rs. 50Lac/aana,"Swoyambhu, Kathmandu",4.3 aana,2.5,4,6,Semi-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,5,Semi-Furnished,North,13 Feet 
Rs. 1.27Cr ,"Sudal, Bhaktapur",3.2 aana,1,5,5,Un-Furnished,East,13 Feet 
Rs. 6.1Cr ,"Bhaisepati, Lalitpur",3.2 aana,3.5,6,4,Semi-Furnished,South,18 Feet 
Rs. 32Cr ,"Budhanilkantha, Kathmandu",3.2 aana,2,5,5,Semi-Furnished,South,14 Feet 
Rs. 6.9Cr ,"Katyani Chowk, Kathmandu",3.2 aana,2.5,9,4,Un-Furnished,East,24 Feet 
Rs. 11.5Cr ,"Gaurighat, Kathmandu",3.2 aana,2,6,5,Semi-Furnished,East,24 Feet 
Price on call,"Hattigaunda, Kathmandu",3.2 aana,2.5,5,4,Semi-Furnished,South-West,20 Feet 
Rs. 1.6Cr ,"Imadol, Lalitpur",2.2 aana,2,1,2,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Harisiddhi, Lalitpur",3.1 aana,2.5,1,2,Semi-Furnished,West,13 Feet 
Rs. 2.8Cr ,"Harisiddhi, Lalitpur",3.1 aana,2.5,1,2,Semi-Furnished,West,20 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,3,Semi-Furnished,South-West,14 Feet 
Rs. 1.7Cr ,"Lubhu, Lalitpur",4.2 aana,2.5,5,3,Un-Furnished,East,10 Feet 
Rs. 4.25Cr ,"Bhaisepati, Lalitpur",3.3 aana,2.5,4,4,Semi-Furnished,South-West,20 Feet 
Rs. 5.25Cr ,"Balkot, Bhaktapur",3.3 aana,2.5,5,4,Semi-Furnished,South-East,20 Feet 
Rs. 2.5Cr ,"Bageshwori, Bhaktapur",3.3 aana,2.5,7,3,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Tikathali, Lalitpur",3.2 aana,3,6,3,Un-Furnished,South,18 Feet 
Rs. 2.35Cr ,"Imadol, Lalitpur",3.2 aana,2.5,4,3,Un-Furnished,West,13 Feet 
Rs. 3.9Cr ,"Samakhusi, Kathmandu",3.2 aana,2.5,3,4,Full-Furnished,West,13 Feet 
Price on call,"Budhanilkantha, Kathmandu",3.2 aana,2.5,5,5,Semi-Furnished,North,12 Feet 
Rs. 8.5Cr,"Chandol, Kathmandu",9.3 aana,2.5,6,6,Semi-Furnished,East,20 Feet 
Rs. 6.03Cr,"Hepali Height, Kathmandu",9.3 aana,3.5,4,4,Un-Furnished,North,20 Feet 
Rs. 7.5Cr ,"Mandikhatar, Kathmandu",9.1 aana,3.5,8,6,Un-Furnished,South-West,16 Feet 
Rs. 3.15Cr ,"Hattigaunda, Kathmandu",9.1 aana,2.5,6,5,Semi-Furnished,East,14 Feet 
Rs. 2.75Cr ,"Tikathali, Lalitpur",9.1 aana,2.5,7,4,Un-Furnished,North,13 Feet 
Rs. 2.35Cr ,"Imadol, Lalitpur",9.1 aana,3.5,6,4,Un-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Thaiba, Lalitpur",5.2 aana,2.5,6,4,Un-Furnished,North-East,20 Feet 
Rs. 2.55Cr ,"Tikathali, Lalitpur",5.2 aana,3,6,5,Un-Furnished,North,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",5.2 aana,2.5,3,4,Un-Furnished,North,20 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.3 aana,3.5,5,4,Un-Furnished,East,13 Feet 
Rs. 2.45Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,4,Un-Furnished,West,13 Feet 
Rs. 90Lac/aana,"Baneshwor, Kathmandu",3.1 aana,3.5,4,4,Un-Furnished,West,20 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",4.2 aana,2.5,5,5,Un-Furnished,North,13 Feet 
Price on call,"Itahari, Sunsari",0.14 kattha,4,5,5,Semi-Furnished,South,24 Feet 
Rs. 2.5Cr ,"Lasuntar, Kathmandu",0.14 kattha,2.5,5,3,Un-Furnished,North-East,12 Feet 
Rs. 4.5Cr ,"Khumaltar, Lalitpur",0.14 kattha,2.5,6,3,Un-Furnished,South,13 Feet 
Rs. 2.4Cr ,"Imadol, Lalitpur",2.3 aana,3,4,4,Un-Furnished,East,13 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",2.2 aana,3,4,4,Un-Furnished,North,13 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",2.2 aana,3,4,5,Un-Furnished,South-West,13 Feet 
Rs. 3.2Cr ,"Tikathali, Lalitpur",4.1 aana,2.5,5,4,Un-Furnished,North-West,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",4.1 aana,2.5,5,5,Un-Furnished,East,13 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",4.1 aana,3.5,6,4,Un-Furnished,West,20 Feet 
Rs. 2.55Cr ,"Tikathali, Lalitpur",3.2 aana,3,6,6,Un-Furnished,North-East,13 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,5,Un-Furnished,West,13 Feet 
Rs. 3.4Cr ,"Imadol, Lalitpur",3.2 aana,3,5,4,Un-Furnished,West,26 Feet 
Rs. 2.75Cr ,"Nakkhu, Lalitpur",3.2 aana,2.5,4,4,Un-Furnished,East,20 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",4.1 aana,2.5,4,4,Un-Furnished,North-East,20 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",4.1 aana,2.5,6,4,Un-Furnished,North-East,13 Feet 
Rs. 5.9Cr ,"Lubhu, Lalitpur",7.1 aana,2.5,6,5,Un-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Taukhel, Lalitpur",7.1 aana,3,5,3,Un-Furnished,West,12 Feet 
Rs. 3.25Cr ,"Hattiban, Lalitpur",7.1 aana,2.5,5,3,Un-Furnished,North-West,14 Feet 
Rs. 4.25Cr,"Narayanthan , Kathmandu",7.1 aana,2.5,4,6,Semi-Furnished,West,20 Feet 
Rs. 3.4Cr ,"Katunje, Bhaktapur",4.1 aana,2.5,5,4,Semi-Furnished,South-West,13 Feet 
Rs. 21Lac/aana,"Bauthali, Kathmandu",22.2 aana,3,10,8,Semi-Furnished,North-East,20 Feet 
Rs. 4.75Cr ,"Dhapasi, Kathmandu",22.2 aana,3,4,5,Semi-Furnished,East,20 Feet 
Rs. 3.45Cr ,"Sundarbasti, Kathmandu",3.3 aana,2.5,4,5,Un-Furnished,North-East,13 Feet 
Rs. 2.9Cr ,"Nayapati, Kathmandu",6.1 aana,2.5,11,4,Un-Furnished,West,20 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",6.1 aana,3.5,11,4,Semi-Furnished,South-West,13 Feet 
Rs. 2.95Cr ,"Jyotinagar, Kathmandu",4.2 aana,3.5,5,4,Un-Furnished,North,16 Feet 
Rs. 4.5Cr ,"Kuleshwor, Kathmandu",2.2 aana,5,7,4,Un-Furnished,East,27 Feet 
Rs. 4.6Cr ,"Dhapasi, Kathmandu",7.2 aana,2.5,4,5,Un-Furnished,South,13 Feet 
Price on call,"Makalbari, Kathmandu",7.2 aana,1,2,1,Semi-Furnished,East,16 Feet 
Rs. 2.4Cr ,"Bhangal , Kathmandu",3.2 aana,2.5,6,5,Un-Furnished,East,13 Feet 
Rs. 6Cr ,"Mahadevtar, Kathmandu",10.2 aana,3.5,6,5,Un-Furnished,South-West,13 Feet 
Rs. 3.85Cr ,"Budhanilkantha, Kathmandu",4.2 aana,3,6,5,Un-Furnished,East,13 Feet 
Rs. 2.8Cr ,"Pasikot, Kathmandu",4.2 aana,2.5,5,4,Un-Furnished,West,13 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",2.3 aana,3.5,3,4,Un-Furnished,North,13 Feet 
Price on call,"Mandikhatar, Kathmandu",3.3 aana,2.5,3,4,Un-Furnished,South,13 Feet 
Rs. 5Cr ,"Banasthali, Kathmandu",3.3 aana,2.5,3,4,Un-Furnished,East,20 Feet 
Price on call,"Hattigaunda, Kathmandu",5.2 aana,2.5,3,4,Un-Furnished,East,13 Feet 
Rs. 1.6Cr ,"Phutung, Kathmandu",2.2 aana,2.5,3,4,Un-Furnished,West,13 Feet 
Rs. 3.25Cr ,"Gurjudhara, Kathmandu",2.2 aana,2.5,5,4,Un-Furnished,South,13 Feet 
Rs. 3.9Cr ,"Pasikot, Kathmandu",5.2 aana,2.5,5,6,Un-Furnished,East,20 Feet 
Rs. 5.5Cr ,"Balkumari, Lalitpur",5.2 aana,2.5,6,3,Semi-Furnished,East,13 Feet 
Rs. 3.5Cr ,"Sitapaila, Kathmandu",5.2 aana,2.5,5,3,Un-Furnished,South,13 Feet 
Rs. 3.7Cr ,"Balkhu, Kathmandu",3.2 aana,2.5,4,4,Semi-Furnished,East,20 Feet 
Rs. 7.25Cr ,"Chandol, Kathmandu",3.2 aana,2.5,4,4,Un-Furnished,South,26 Feet 
Rs. 2.85Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,East,13 Feet 
Rs. 3.65Cr ,"Imadol, Lalitpur",3.2 aana,3,7,4,Semi-Furnished,East,13 Feet 
Rs. 3.3Cr ,"Grande Hospital, Kathmandu",3.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 6.25Cr ,"Hattigaunda, Kathmandu",3.2 aana,2,5,7,Un-Furnished,South,20 Feet 
Rs. 7.5Cr ,"Hattigaunda, Kathmandu",3.2 aana,2.5,7,6,Un-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Imadol, Lalitpur",3.1 aana,2.5,3,6,Semi-Furnished,West,30 Feet 
Rs. 2.35Cr ,"Gwarko, Lalitpur",3.1 aana,3,3,6,Semi-Furnished,North-East,13 Feet 
Rs. 2.95Cr ,"Gwarko, Lalitpur",3.1 aana,3.5,4,4,Semi-Furnished,West,13 Feet 
Rs. 4.65Cr,"Budhanilkantha, Kathmandu",3.1 aana,3.5,4,4,Semi-Furnished,East,13 Feet 
Rs. 3.15Cr ,"Budhanilkantha, Kathmandu",3.1 aana,3,4,4,Semi-Furnished,South,13 Feet 
Rs. 1Cr/aana,"Uttardhoka, Kathmandu",3.1 aana,2,5,4,Semi-Furnished,South,20 Feet 
Rs. 2.25Cr ,"Budhanilkantha, Kathmandu",3.1 aana,2,2,4,Un-Furnished,South-East,13 Feet 
Price on call, Tanahun,4069.92 aana,2.5,7,2,Semi-Furnished,East,9 Meter
Rs. 3.1Cr ,"Satdobato, Lalitpur",3.3 aana,2.5,4,2,Semi-Furnished,West,13 Feet 
Rs. 4.35Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,4,4,Un-Furnished,East,20 Feet 
Rs. 5.5Cr ,"Sitapaila, Kathmandu",4.2 aana,2.5,6,3,Semi-Furnished,West,20 Feet 
Rs. 6Cr ,"Gongabu, Kathmandu",7.1 aana,5,6,3,Un-Furnished,North,12 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",7.1 aana,2.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 2.75Cr ,"Ochu Height, Lalitpur",3.1 aana,3,6,4,Semi-Furnished,North,13 Feet 
Rs. 2.95Cr ,"Gwarko, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 1.95Cr ,"Lubhu, Lalitpur",2.3 aana,3,5,6,Semi-Furnished,West,23 Feet 
Rs. 2.7Cr ,"Lalitpur, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Un-Furnished,East,16 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Un-Furnished,East,14 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.2 aana,3,6,4,Un-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Un-Furnished,East,13 Feet 
Price on call,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,6,Semi-Furnished,West,14 Feet 
Rs. 4.5Cr ,"Bhaisepati, Lalitpur",3.2 aana,3,4,4,Un-Furnished,East,13 Feet 
Rs. 2.25Cr ,"Dhapasi, Kathmandu",2.3 aana,2.5,4,2,Un-Furnished,North-West,13 Feet 
Rs. 60Lac/aana,"Golfutar, Kathmandu",2.3 aana,2,5,5,Un-Furnished,East,14 Feet 
Rs. 3.3Cr ,"Dadhikot, Bhaktapur",4.3 aana,3.5,8,5,Full-Furnished,South-West,13 Feet 
Rs. 2.7Cr ,"Harisiddhi, Lalitpur",4.3 aana,2.5,3,4,Semi-Furnished,South,20 Feet 
Rs. 2.25Cr ,"Imadol, Lalitpur",4.3 aana,2.5,3,4,Semi-Furnished,West,20 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",4.1 aana,2.5,5,5,Semi-Furnished,South,13 Feet 
Rs. 4.7Cr ,"Bafal, Kathmandu",4.1 aana,2.5,6,3,Un-Furnished,West,14 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,2.5,4,3,Full-Furnished,West,13 Feet 
Rs. 2.3Cr ,"Sitapaila, Kathmandu",3.2 aana,3.5,9,3,Un-Furnished,North,12 Feet 
Rs. 3.5Cr ,"Lainchaur, Kathmandu",3.2 aana,2.5,8,4,Un-Furnished,South,8 Feet 
Rs. 2.7Cr ,"Greenhill City, Kathmandu",3.2 aana,4.5,8,4,Semi-Furnished,West,11 Feet 
Rs. 8.5Cr ,"Sunakothi, Lalitpur",3.2 aana,2.5,5,7,Semi-Furnished,South,20 Feet 
Rs. 7Cr ,"Hattiban, Lalitpur",3.2 aana,2.5,5,4,Un-Furnished,North-West,20 Feet 
Rs. 3.5Cr ,"Hattiban, Lalitpur",3.3 aana,2.5,3,4,Un-Furnished,North-West,22 Feet 
Rs. 18Cr ,"Kamalpokhari, Kathmandu",7.3 aana,5,3,4,Un-Furnished,North,20 Meter
Rs. 1.8Cr ,"Lolang, Kathmandu",7.3 aana,2.5,11,4,Un-Furnished,West,10 Feet 
Rs. 2.6Cr,"Dakshindhoka, Kathmandu",7.3 aana,2.5,3,4,Semi-Furnished,North-East,20 Feet 
Rs. 3.45Cr ,"Budhanilkantha, Kathmandu",7.3 aana,2.5,6,5,Semi-Furnished,West,13 Feet 
Rs. 3.75Cr ,"Budhanilkantha, Kathmandu",7.3 aana,2,6,5,Un-Furnished,South-West,14 Feet 
Rs. 4.25Cr ,"Mhaipi, Kathmandu",5.1 aana,2.5,4,5,Semi-Furnished,North,20 Feet 
Rs. 3Cr ,"Dadhikot, Bhaktapur",5.1 aana,2.5,4,3,Semi-Furnished,East,10 Feet 
Rs. 3Cr ,"Pasikot, Kathmandu",4.2 aana,2.5,8,4,Semi-Furnished,East,14 Feet 
Rs. 3.1Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Un-Furnished,East,13 Feet 
Rs. 4.5Cr ,"Imadol, Lalitpur",6.3 aana,3,7,7,Un-Furnished,South,13 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",6.3 aana,2.5,5,4,Un-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Un-Furnished,South,13 Feet 
Rs. 3.75Cr ,"Greenland Chowk, Kathmandu",3.2 aana,2,5,4,Un-Furnished,South-East,20 Feet 
Rs. 15Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 10.5Cr ,"Italitar, Kathmandu",3.2 aana,2.5,5,6,Un-Furnished,North-East,20 Feet 
Rs. 2.55Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,4,4,Un-Furnished,South,13 Feet 
Rs. 2.25Cr ,"Sanagaun, Lalitpur",2.3 aana,2.5,5,3,Un-Furnished,South,20 Feet 
Rs. 10.5Cr ,"Balkumari, Lalitpur",2.3 aana,2.5,6,5,Un-Furnished,North,20 Feet 
Price on call,"Panchetar, Kathmandu",2.3 aana,2.5,4,5,Full-Furnished,West,20 Feet 
Rs. 2.85Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,9,5,Un-Furnished,East,13 Feet 
Price on call,"Budhanilkantha, Kathmandu",2.3 aana,2.5,5,5,Un-Furnished,North-East,20 Feet 
Price on call,"Lazimpat, Kathmandu",2.3 aana,2.5,5,6,Un-Furnished,West,24 Feet 
Rs. 12.5Cr ,"Maharajgunj, Kathmandu",2.3 aana,2.5,4,4,Un-Furnished,East,20 Feet 
Rs. 6Cr ,"Deuwa Chowk, Kathmandu",2.3 aana,2.5,8,5,Un-Furnished,West,13 Feet 
Rs. 1.65Cr ,"Kageshwori, Kathmandu",2.2 aana,2.5,8,3,Un-Furnished,East,13 Feet 
Rs. 3.35Cr ,"Budhanilkantha, Kathmandu",2.2 aana,3,10,5,Un-Furnished,North,13 Feet 
Rs. 3.5Cr ,"Suryadarshan Height, Kathmandu",2.2 aana,3.5,6,4,Full-Furnished,South-East,11 Feet 
