price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
26000000,"Dhapakhel, lalitpur",0-3-0-0,East,3,3,1,2.5,4,20,Semi Furnished,2.5
27500000,100 meters from Civil Home,0-4-0-0,North,7,3,3,3,4,13,Semi Furnished,3
38000000,Namgyal Chowk,0-3-2-0,North-East,8,4,3,3,4,13,Full Furnished,3
19000000,"Thankot, kathmandu",0-3-0-0,East,6,3,1,3,4,14,Semi Furnished,3
19500000,"Naikap, Basantatol ",0-4-0-0,East,6,3,1,3,4,12,Semi Furnished,3
26500000,"Pasikot, budhanilkantha",0-3-0-0,North-East,5,4,1,3,4,13,Semi Furnished,3
95500000,"Sanepa, lalitpur",0-10-2-0,North,5,4,1,3,7,10,Semi Furnished,3
32500000,tempo park,3 aana 2 paisa,East,6,5,2,2.5,1,,Semi Furnished,2.5
20000000,"Kathmandu ,Dhumbarai-4,Near pipal bot chowk.",0-3-2-0,North,6,2,1,2.5,2,8,Unfurnished,2.5
70000000,Indrapur,,West,5,2,1,,2,,Semi Furnished,
24000000,"Sanagaun, Lalitpur",0-3-0-0,East,6,4,2,3,4,13,Semi Furnished,3
24500000,"Tikathali, Lalitpur",0-3-1-0,West,5,3,2,3,4,13,Semi Furnished,3
27500000,"Sanagaun, Lalitpur",0-3-2-0,South-East,6,4,2,3,4,13,Semi Furnished,3
27000000,"Tikathali, Lalitpur",0-3-0-0,North,5,4,1,3,4,13,Semi Furnished,3
27500000,"Tikathali, lalitpur",0-3-2-0,South,5,4,2,3,4,13,Semi Furnished,3
27000000,"Tikathali, Lalitpur",0-3-2-0,North,5,4,2,3,4,13,Semi Furnished,3
30000000,"Bista gaun,GS colony",4 ana,South-East,4,1,1,2.5,1,,Full Furnished,2.5
35000000,dhapasi,Nepal,North-East,6,4,2,2.5,1,,Unfurnished,2.5
32000000,1 km from deuba chowk,0-5-0-0,West,4,3,1,2.5,4,13,Semi Furnished,2.5
33000000,Sundar basti,0-3-3-0,South,4,4,2,3,5,,Semi Furnished,3
85000000,Bhaisepati,6 aana 3 paisa,South-East,5,4,1,3,4,,Full Furnished,3
42500000,"Shital Height, Imadol",0-4-1-0,North-West,7,6,2,4,4,16,Semi Furnished,4
55000000,Pasikot,0-6-0-0,South-East,8,5,3,3,4,,Semi Furnished,3
35000000,Imadol Tempo Park,0-3-1-0,North,6,4,2,3,5,13,Semi Furnished,3
29500000,"Halchowk, Single Tree",0-3-0-0,West,6,5,2,6,4,13,Semi Furnished,6
60000000,Ishan Colony,0-8-1-0,South-East,5,3,1,3,5,16,Semi Furnished,3
110000000,Sanepa Chowk,0-11-0-0,South,7,5,1,4,8,10,Semi Furnished,4
22500000,"Hattiban, Lalitpur",0-2-2-3,South,5,2,1,3,4,12,Semi Furnished,3
92500000,sitapaila,Nepal,South,4,3,1,2.5,4,,Full Furnished,2.5
33000000,near Bhatbhateni,0-3-1-0,South,6,4,2,4,4,26,Semi Furnished,4
44500000,Mahalaxmi,0-4-0-0,North-West,6,6,2,4,4,26,Semi Furnished,4
70000000,"Sunrise Height, Raniban",0-8-2-0,South,6,5,2,4,4,13,Full Furnished,4
28000000, 700 meter away from main sitapaila chowk,0-3-2-3,South-West,4,3,2,3,4,,Semi Furnished,3
17500000,"Kalanki, kathmandu",0-2-3-0,South,5,3,2,3,4,13,Semi Furnished,3
29000000,Near LRI,0-3-2-0,South-East,7,5,3,4,4,15,Semi Furnished,4
41000000,Budanilkantha-7,Nepal,North-East,4,4,2,2.5,2,,Full Furnished,2.5
33000000,kapan,Nepal,East,7,3,3,3.5,1,,Unfurnished,3.5
11000000,Malangwa-03 ,0-1-0,East,2,2,1,1,2,10,Semi Furnished,1
30000000,budhanilkantha,Nepal,West,5,4,2,2.5,1,,Unfurnished,2.5
70000000,Dhumbarahi,6 aana,South,9,8,4,4,4,,Full Furnished,4
48000000,"Deuba chowk, Budhanilkantha",0-7-0-0,South-East,3,3,1,3,1,13,Semi Furnished,3
62500000,budhanilkantha,Nepal,West,5,4,1,2.5,1,,Unfurnished,2.5
31500000,Ochu Height,0-3-1-0,East,5,4,2,4,1,13,Full Furnished,4
32500000,"Rajkulo, Imadol",0-3-2-0,West,5,4,2,3,1,13,Semi Furnished,3
29000000,"Rajkulo, Imadol",0-3-1-0,South,6,5,2,4,1,13,Semi Furnished,4
46000000,Rumba Chwok,4 aana,North-East,6,6,2,3.5,3,20,Semi Furnished,3.5
32500000,"Rajkulo, Imadol",0-3-1-0,West,5,4,2,4,3,13,Full Furnished,4
32500000,Yellow Gumba,4 aana ,South-East,5,6,2,2.5,3,16,Full Furnished,2.5
35000000,dhapasi,Nepal,East,6,4,1,2.5,1,,Unfurnished,2.5
45000000,samakhusi,Nepal,East,8,5,3,3.5,1,,Unfurnished,3.5
31000000,"Manjurshree tole, bhaisepati",0-3-3-2,West,3,4,2,3,1,13,Semi Furnished,3
43000000,Bhaisepati near Mediciti Hospital,0-5-0-0,South,6,5,2,3,1,13,Semi Furnished,3
35000000,Bhaisepati near Mediciti hospital,0-3-3-0,South,4,4,1,3,1,12,Semi Furnished,3
26000000,700 meter from Medicity hospital,0-3-0-0,East,4,4,1,3,1,14,Semi Furnished,3
55000000,Shital Height,5 aana 1 paisa,South,7,6,2,3.5,2,,Full Furnished,3.5
25000000,Radha krishna mandir,3 aana,South-East,4,4,2,2.5,3,13,Unfurnished,2.5
30000000, Green Hill Academy and Milandhamsthali,5 aana 2 paisa 2 daam,South-East,5,5,2,2.5,4,13,Full Furnished,2.5
42500000,Ochu Height,4 aana 1 paisa,East,5,4,3,2.5,4,13,Semi Furnished,2.5
33500000,Nayabasti,3 anna 2 paisa,North-West,5,6,2,3,3,20,Semi Furnished,3
7500000,"mahottrai,Bardibas",8dhur,South,2,1,0,1,2,100,Full Furnished,1
28000000,Tej Binayak chwok,3 anna 1 paisa,West,7,5,2,2.5,4,20,Semi Furnished,2.5
28000000,Gothatar,3 anna 1 paisa,West,5,4,2,2.5,4,20,Semi Furnished,2.5
32500000,Gandhichowk,3 anna 2 daam,West,5,5,3,3.5,3,14,Full Furnished,3.5
90000000,Near medicity hospital,Starting from 6 aana,East,5,4,2,3,1,,Semi Furnished,3
67000000,Balkumari,0-5-2-0,South,4,4,2,3,1,13,Full Furnished,3
64000000,Near Triton college,0-5-1-2,South,4,4,2,3,1,13,Full Furnished,3
